,dis_subtype,dis_type,end_date,insur_dam,iso,location,st_date,total_affected,total_dam,total_deaths
1994-9422,Drought,Drought,//1995,,KEN,Northern & northeastern districts,/03/1994,1200000,,
1996-0474,Riverine flood,Flood,11/04/1996,,KEN,Nyanza province,06/04/1996,1000,,
1996-9326,Drought,Drought,//1998,,KEN,"Garissa, Isiolo, Wajir, Mandera, Turkana, Baringo, Kifili, Meru, Makueni, Marsabit/moyale, Tana river, Kitui, Mwingi, Mbere, Tharaka Nithi, Nyambene, Machakos, Taita Taveta, Muranga/Makuyu/Maragwa, Kajiado, Kilifi  districts",/01/1997,1600000,,
1997-0255,--,Flood,/09/1997,,KEN,"Kwale, Kilifi, Mombasa, Malindi, Tana River districts (Coast province), Garissa, Mandea, Wajir districts (Northeastern province), Moyale, Marsabit districts (Eastern province)",/09/1997,900000,11800,86
1998-0443,--,Flood,/05/1998,,KEN,Lac Victoria,/05/1998,200,,40
1999-9388,Drought,Drought,//2002,,KEN,"Baringo, Garissa, Isiolo, Kajiado, Kitui, Machakos, Makueni, Mandera, Mbeere, Moyale, Mwingi, Samburu, Tana River, Tharaka, Turkana, Wajir, West Pokot, Marsabit, Laikipia, Marakwet, Keiyo, Nyeri, Taita Taveta, Kwale, Lamu, Kilifi, Trans Mara, Nyandarua, M",/12/1999,23000000,,85
2001-0032,Riverine flood,Flood,14/01/2001,,KEN,Nairobi,13/01/2001,,38,4
2002-0248,Landslide,Landslide,30/04/2002,,KEN,"Meru Central, Muranga counties",30/04/2002,,,16
2002-0265,Riverine flood,Flood,28/05/2002,,KEN,"Migori, Kisumu, Nyando, Rachuoyo districts (Nyanza province), Muranga (Central province), Busia, Kirinyaga, Meru (Western province), Ijara, Thika ( Coast province)",26/04/2002,150008,,53
2002-0689,Riverine flood,Flood,04/11/2002,,KEN,"Madogo (Tana river district), Kinango area (kwale district)",29/10/2002,20000,,14
2002-0711,Flash flood,Flood,20/11/2002,,KEN,Kiambu District,17/11/2002,2000,,12
2002-0800,Riverine flood,Flood,23/12/2002,,KEN,Marigat Division (Baringo district),21/12/2002,3000,,6
2003-0204,Riverine flood,Flood,/05/2003,,KEN,"Nyando, Kisumu, Rachuonyo, Migori (Nyanza region), Bussia region",/04/2003,60000,,40
2003-0729,Riverine flood,Flood,06/01/2003,,KEN,Kisumu region,04/01/2003,300,,
2004-0152,Flash flood,Flood,12/04/2004,,KEN,"Nyando, Budalangi district (Western province)",09/04/2004,2000,,4
2004-0194,Riverine flood,Flood,11/05/2004,,KEN,"Nairobi area , Tana River, Taita Taveta (Coast province) , Nakuru, Baringo, Turkana, Nyamira, Machakos, Marakwet (Rift Valley province) , Nyanza, Nyando, Rachuonyo, Kisumu, Migori, Homa Bay (Nyando province)",09/04/2004,10000,,50
2004-0659,Tsunami,Earthquake,26/12/2004,,KEN,Mombassa,26/12/2004,,100000,1
2004-9288,Drought,Drought,//2004,,KEN,"Kitui, Mbeere, Mwingi districts (Eastern province), Turkana, Marsabit, MIjara, Mandera, Kajiado, Wajir, Garissa, Narok, Tana river districts (North Eastern province), Kilifi, Kwale, Taita Taveta districts (Coastal provinces)",/07/2004,2300000,,80
2005-0215,Flash flood,Flood,26/04/2005,,KEN,,23/04/2005,25000,500,1
2005-0260,Flash flood,Flood,24/05/2005,,KEN,"Rift Valley, West region, Dadaab",18/05/2005,10000,,5
2005-0526,Riverine flood,Flood,20/06/2005,,KEN,"Bukhay, Walwasi (Busia district)",17/06/2005,1200,,20
2005-9719,Drought,Drought,//2006,,KEN,"Makueni, Kitui, Malindi, Kwale, Kilifi, Taita Taveta, Mandera, Wajir, Marsabit, Kajiado, Garissa, Myale, Isiolo, Mwingi, Tana river, Ijara, Turkana, Kitui, Samburu, Taita/Taveta, Laikipia districts (North East, East and coastal regions)",/12/2005,3500000,,27
2006-0178,Riverine flood,Flood,22/05/2006,,KEN,"Isiolo, Moyale, Nairobi",04/04/2006,17300,,60
2006-0234,Riverine flood,Flood,04/05/2006,,KEN,"Nyanza, Mombasa provinces, Indian Ocean coastal region and western provinces",25/04/2006,13000,,8
2006-0587,Riverine flood,Flood,26/10/2006,,KEN,"Isiolo, Garissa, Lodwar, Moyale, Wajir, Mandera, Kwale region, Mombasa regions",15/10/2006,30000,,30
2006-0624,Riverine flood,Flood,19/12/2006,,KEN,"Dabaab, Kwale, Garissa, Kilifi, Tana river, Ijara, Wajir, Moyale, El Wak, Budalangi, Mandera, Isiolo, Turkana, Lodwar, Kisumu (North-Eastern, Western, Central Highlands provinces)",23/10/2006,723000,,114
2007-0177,Riverine flood,Flood,11/06/2007,,KEN,"Mombasa, Malindi, Kwale, Kilifi, Lamu districts (Coast provinces)",15/05/2007,651,,2
2007-0356,Landslide,Landslide,13/08/2007,,KEN,Kuvasali (Kakamega county),10/08/2007,6,,20
2007-0408,Riverine flood,Flood,31/10/2007,,KEN,Budalangi region,15/08/2007,40000,,13
2007-0613,Riverine flood,Flood,15/12/2007,,KEN,Taita Taveta district,12/12/2007,2000,,4
2008-0127,Riverine flood,Flood,05/04/2008,,KEN,"Taita, Taveta districts (Coast province)",17/03/2008,700,,
2008-0129,--,Flood,02/04/2008,,KEN,"Chalbi, Rachuonyo districts (Rift Valley province)",20/03/2008,10000,,2
2008-0260,Riverine flood,Flood,20/06/2008,,KEN,Tana Delta district,13/06/2008,8658,,16
2008-0482,Flash flood,Flood,16/10/2008,,KEN,Mandera district,14/10/2008,6000,,3
2008-0483,Riverine flood,Flood,07/10/2008,,KEN,Katilu division (Turkana),04/10/2008,6310,,17
2008-0513,Landslide,Landslide,08/11/2008,,KEN,Chepkogoh village (West Pokot county),08/11/2008,20,,10
2008-0518,Riverine flood,Flood,25/11/2008,,KEN,"Budalangi district (Western province), Mandera, Garissa districts, Wajir town (North Western province), Pokot Central, Trans Nzoia districts (Rift Valley province), Tana River district (Coast province), Migori, Nyando districts (Nyanza province)",10/11/2008,30770,,17
2008-9302,Drought,Drought,//2009,,KEN,"Sacho, Marigat, Mukutani, Tenges, Kolowa, Tangulbei, Nginyang (Baringo and East Pokot districts); Lower Eastern, Garissa, Ijara, Mandera, Wajir, Mwingi districts (North Eastern); North Rift Region; Moyale, Marsabit, Samburu, Isiolo, Meru, Embu (Upper Eastern); Central region, Coast region",/07/2008,3800000,,4
2009-0494,Riverine flood,Flood,04/11/2009,,KEN,"Mandera district; North Eastern; Malindi; Tana River district; Coastal regions, Lake Victoria Basin",29/10/2009,44850,,16
2009-0597,Riverine flood,Flood,12/01/2010,,KEN,"Nairobi, Turkana lake , Laikipia, Kajiado, Rongai, Mogotio, Magarini, Tana river region, Koibatek, Marigat, Nyando, Narok; Central Division; Lokori Division; West Pokot; Nyakach Division; Asego Division; Kericho; East Pokot; Naivasha; Kiambu; Isiolo; Riambu; Taveta; Makindu",24/12/2009,91350,,40
2010-0094,Riverine flood,Flood,14/05/2010,,KEN,"Marsabit, Turkana, Moyale, Mandera, Garbatula, Central Pokot, Korkori, Sambru, Tinderet, Nakuru, Mogotio, Tana River, Malindi, Narok, Maragua, Makindu, Nyatike, Nyakach, Nyando, Nairobi",01/03/2010,141164,,94
2010-0186,Landslide,Landslide,30/04/2010,,KEN,Kitony village (Marakwet ),30/04/2010,,,10
2010-0285,Riverine flood,Flood,24/05/2010,,KEN,"Western Kenya, Amoni, Osuret, Asing\'e, Among\'ura, Kamolo and Osajai; Salabani location, Marigat District in Rift Valley province",08/05/2010,70000,,100
2010-9082,Drought,Drought,/01/2011,,KEN,"Marsabit, Isiolo, Moyale, Samburu (Upper Eastern); Mandera, Wajir, Ijara, Garissa (North Esatern); Pokot, Turkana (North Rift); Tana River, Lamu, Kwale (Coast)",/01/2011,4300000,,
2011-0423,Riverine flood,Flood,08/09/2011,,KEN,"Kisumu town: Nyanza, Turkana",15/08/2011,4000,,8
2011-0476,Riverine flood,Flood,04/11/2011,,KEN,Dadaab (East),04/11/2011,5000,,
2011-0504,Riverine flood,Flood,22/12/2011,,KEN,"Busia, Siaya, Kisumu East, Nyakach, Rachuonyo, Mumias, Nyatike districts (West Kenya region); Tana river, Garsen districts (Coast region); Keiyo, East Pokot districts (North Rift region); Marakwet district (South Rift region); Myale, Marsabit, Isiolo, Samburu districts  (Upper Eastern reion); Wajir district (North Eastern); Muranga district (Centarl region)",29/11/2011,91692,,25
2011-9663,Drought,Drought,//2012,,KEN,"Wajir, Mandera, Moyale, Marsabit, Turkana, Tana river, Mwingi ",//2011,3750000,,
2012-0166,Riverine flood,Flood,16/05/2012,1000,KEN,"Homa Bay, Kisumu, Suba, Busia, Nyando, Rachuonyo, Migori districts (West); Kitengela, Ngong, Athi river districts (Nairobi); Thika district (Central); Nakuru district (Rift Valley); Malindi, Bura, Garsen, Bangale districts (Coast); Nyanza province",20/04/2012,280670,100000,73
2013-0123,Riverine flood,Flood,30/04/2013,,KEN,"Western Kenya, Coastal region and parts of Rift Valle; Turkana, Pokot, Baringo and parts of Marakwet; Sofia Boma village in Taita Taveta County; Kerio Valley; Nairobi-Nakuru highway near Naivasha town; Kisumu;  Murang\'a, Nyeri, and Kiambu counties",10/03/2013,100020,36000,96
2013-0281,Riverine flood,Flood,07/08/2013,,KEN," Marigat, Ng?ambo, Salabani ",05/08/2013,5000,,
2013-0305,Riverine flood,Flood,17/01/2013,,KEN,"Nairobi; Nyanza; North Rift region; Nyando, Nyakach Muhoroni, Muhorini, Kisumu (Rift Valley); ",13/01/2013,10780,,18
2013-0545,Riverine flood,Flood,/12/2013,,KEN,"Taita-Taveta, Kajiado, Makueni, Laikipia, Narok counties\r\r",/12/2013,,,14
2014-9404,Drought,Drought,/05/2015,,KEN,"North Western, Northern, North Eastern, South Eastern, part of Coast; Mandera, Turkana, Baringo, Samburu, Wajir, Marsabit",/01/2014,1600000,,
2015-0158,Flash flood,Flood,10/04/2015,,KEN,"Nyanza, Homa Bay",04/04/2015,1500,,13
2015-0159,Riverine flood,Flood,02/05/2015,,KEN,"Narok, Kisumu, Kisii, Homa Bay, Nairobi",27/04/2015,3000,,13
2015-0564,Riverine flood,Flood,06/01/2016,,KEN,"Mt. Elgon, Kirinyaga, Narok, Busia, Kisumu, Tana River, Trans Nzoia, Busia, Bungoma, Marsabit, Isiolo, Mandera, Nandi, Wajir, Machakoscounties",01/12/2015,240799,,112
1903-0007,Ground movement,Earthquake,29/04/1903,,TUR,Malazgirt,29/04/1903,,,6000
1912-0006,Ground movement,Earthquake,09/08/1912,,TUR,Murefte Sarkoy,09/08/1912,1575,,923
1928-0005,Ground movement,Earthquake,30/03/1928,,TUR,Torbah-Izmir,30/03/1928,209,,50
1938-0002,Ground movement,Earthquake,19/04/1938,,TUR,Kirsehir,19/04/1938,800,,149
1939-0008,Ground movement,Earthquake,21/11/1939,,TUR,Tercan region,21/11/1939,,,43
1939-0010,Ground movement,Earthquake,26/12/1939,,TUR,Erzincan (Anatolia),26/12/1939,,20000,32962
1939-0023,Ground movement,Earthquake,22/09/1939,,TUR,Dikili,22/09/1939,68,,60
1940-0007,Ground movement,Earthquake,20/02/1940,,TUR,Develi-Erciyes,20/02/1940,,,37
1942-0011,Ground movement,Earthquake,20/12/1942,,TUR,Niksar-Erbaa,20/12/1942,,,3000
1942-0025,Ground movement,Earthquake,26/11/1942,,TUR,,26/11/1942,,,4000
1943-0014,Ground movement,Earthquake,26/11/1943,,TUR,Ladik,26/11/1943,5000,,2824
1944-0003,Ground movement,Earthquake,01/02/1944,,TUR,Gerede (West Anatolia),01/02/1944,,,3959
1944-0010,Ground movement,Earthquake,06/10/1944,,TUR,Ayvalik Edremit,06/10/1944,,,27
1946-0012,Ground movement,Earthquake,31/05/1946,,TUR,Varto-Hinis (Eastern Turkey),31/05/1946,,,839
1948-0017,--,Flood,/02/1948,,TUR,,/02/1948,,,200
1948-0021,--,Flood,/06/1948,,TUR,,/06/1948,,,132
1948-0028,Ground movement,Earthquake,//1948,,TUR,Anatolia,//1948,,,260
1949-0019,Ground movement,Earthquake,17/08/1949,,TUR,Karliova (Anatolia),17/08/1949,355,,437
1951-0015,Ground movement,Earthquake,13/08/1951,,TUR,Kursunlu-Ilgaz,13/08/1951,150,,54
1952-0009,Ground movement,Earthquake,22/10/1952,,TUR,Adana-Misis,22/10/1952,,,18
1952-0014,Ground movement,Earthquake,03/01/1952,,TUR,Hasankale (Erzurum province),03/01/1952,250,,62
1953-0010,Ground movement,Earthquake,18/03/1953,,TUR,"Canakkale, Balikesir",18/03/1953,50000,,1200
1956-0042,--,Flood,/08/1956,,TUR,,/08/1956,,,138
1957-0004,Ground movement,Earthquake,28/04/1957,,TUR,Fethiye,28/04/1957,100,,23
1957-0016,Ground movement,Earthquake,26/05/1957,,TUR,Abant (Bolu province),26/05/1957,119,,53
1957-0036,--,Flood,/09/1957,,TUR,,/09/1957,,,99
1962-0001,Ground movement,Earthquake,//1962,,TUR,Pulumur,//1962,267,,97
1964-0018,--,Flood,10/03/1964,,TUR,Western-Eskisehir,10/03/1964,3000,,
1964-0028,Convective storm,Storm,08/05/1964,,TUR,Southern,08/05/1964,12000,2200,
1964-0059,Ground movement,Earthquake,06/10/1964,,TUR,Bursa & Balikesir provinces (West),06/10/1964,13100,5000,23
1966-0058,Ground movement,Earthquake,03/07/1966,,TUR,Mus province,03/07/1966,,,14
1966-0062,Ground movement,Earthquake,19/08/1966,,TUR,Varto,19/08/1966,109500,20000,2394
1967-0047,Ground movement,Earthquake,22/07/1967,,TUR,(1) West Turkey - (2) East Turkey - (3) West Turkey,22/07/1967,326073,3000,183
1968-0071,Ground movement,Earthquake,03/09/1968,,TUR,Bartin (North Anatolia),03/09/1968,,,29
1968-0134,--,Flood,28/12/1968,,TUR,Igel,28/12/1968,,,147
1969-0059,Ground movement,Earthquake,28/03/1969,,TUR,West Alasehir,28/03/1969,350,,41
1970-0019,Ground movement,Earthquake,28/03/1970,,TUR,Gediz,28/03/1970,83448,55600,1086
1971-0030,Ground movement,Earthquake,02/05/1971,,TUR,Burdur,02/05/1971,,,57
1971-0034,Ground movement,Earthquake,22/05/1971,,TUR,"Bingol, Erzincan",22/05/1971,88665,5000,878
1972-0020,Convective storm,Storm,04/02/1972,,TUR,Istanbul,04/02/1972,,,30
1974-0057,--,Flood,19/11/1974,,TUR,Silopi,19/11/1974,,,33
1975-0053,Ground movement,Earthquake,06/09/1975,,TUR,Lice,06/09/1975,53372,17000,2385
1976-0029,Ground movement,Earthquake,25/03/1976,,TUR,,25/03/1976,6,,2
1976-0056,Ground movement,Earthquake,19/08/1976,,TUR,Denizli,19/08/1976,28,,4
1976-0075,Ground movement,Earthquake,24/11/1976,,TUR,Muradiye,24/11/1976,216000,25000,3840
1976-0170,Landslide,Landslide,12/09/1976,,TUR,Ordu province,12/09/1976,,,40
1976-0180,Landslide,Landslide,/02/1976,,TUR,,/02/1976,,,27
1977-0052,Ground movement,Earthquake,26/03/1977,,TUR,"Lice-Palu, Elazig Province",26/03/1977,,,30
1978-0263,Ground movement,Earthquake,15/02/1978,,TUR,"Pulumur, Erzincan",15/02/1978,2645,,
1980-0034,--,Flood,/03/1980,,TUR,Anatolia,/03/1980,60000,15000,75
1980-0353,Landslide,Landslide,27/03/1980,,TUR,Ayvazhau village (Kayseri province),27/03/1980,,,40
1981-0270,--,Flood,17/12/1981,,TUR,Western,17/12/1981,,,10
1983-0136,Ground movement,Earthquake,30/10/1983,,TUR,"Khorasan, Pasinler, Narman (Erzurum province)   Kars provinces",30/10/1983,834137,25000,1346
1984-0086,Ground movement,Earthquake,18/09/1984,,TUR,Olur-Senkaya area,18/09/1984,375038,,3
1984-0284,Flash flood,Flood,/05/1984,,TUR,SouthEast,/05/1984,200,,
1984-0413,Ground movement,Earthquake,18/10/1984,,TUR,Erzurum-Senkaya area,18/10/1984,375035,,3
1985-0194,Ground movement,Earthquake,07/11/1985,,TUR,Erzurum area,07/11/1985,579,,
1985-0276,Ground movement,Earthquake,12/08/1985,,TUR,"Gumushane,Erzincan",12/08/1985,165,,
1985-0278,Forest fire,Wildfire,06/09/1985,,TUR,Kusadasi,06/09/1985,,,13
1986-0058,Ground movement,Earthquake,05/05/1986,,TUR,"Malatya, Adiyaman provinces",05/05/1986,20100,,15
1986-0183,Ground movement,Earthquake,11/10/1986,,TUR,Aydin area,11/10/1986,1003,,
1987-0382,Cold wave,Extreme temperature ,/03/1987,,TUR,Istanbul,/03/1987,,,30
1988-0273,Landslide,Landslide,23/06/1988,,TUR,Catak (Trabzon province),23/06/1988,620,,64
1988-0684,Flash flood,Flood,13/06/1988,,TUR,Ankara,13/06/1988,1500,,13
1990-0023,Riverine flood,Flood,21/06/1990,,TUR,"Giresun, Gumushane, Trazbon provinces",18/06/1990,4500,150000,51
1990-0634,Riverine flood,Flood,19/02/1990,,TUR,"Kahraman Maras Province, Bingol Province, Gazientep",18/02/1990,,,18
1991-0548,--,Storm,08/12/1991,,TUR,"Van, Bitlis, Hakkari Provinces ( Western and Central Turkey)",08/12/1991,3,,1
1991-0714,Flash flood,Flood,17/05/1991,,TUR,"Diyarbakir, Malatya, Adiyaman, Elazig, Bingol, Mus provinces",16/05/1991,500,25000,42
1992-0010,Avalanche,Mass movement (dry),07/02/1992,,TUR,"Sirnak, Siirt, Elazig, Batman, Bingol, Diyarbakir, Hakkari, Tunceli provinces",01/01/1992,1069,,261
1992-0022,Ground movement,Earthquake,13/03/1992,10800,TUR,Erzican province,13/03/1992,348850,750000,653
1993-0081,Avalanche,Landslide,18/01/1993,,TUR,Ozengeli,18/01/1993,,,135
1994-0027,Severe winter conditions,Extreme temperature ,14/02/1994,,TUR,Eastern and North-East,14/02/1994,8000,,
1994-0362,--,Storm,19/10/1994,,TUR,Black sea,19/10/1994,,,30
1995-0072,Riverine flood,Flood,02/05/1995,,TUR,Bitlis (Eastern Turkey),02/05/1995,201,23500,
1995-0147,Landslide,Landslide,13/07/1995,,TUR,"Ankara, Istanbul, Senirkent",10/07/1995,12046,26000,74
1995-0233,Ground movement,Earthquake,01/10/1995,,TUR,"Dinar, Evciler",01/10/1995,160240,205800,94
1995-0273,--,Flood,08/11/1995,,TUR,"Izmir, Antalaya, Isparta",04/11/1995,306617,50000,63
1996-0175,Forest fire,Wildfire,31/07/1996,,TUR,Near Marmaris,31/07/1996,500,,
1996-0461,Ground movement,Earthquake,14/08/1996,,TUR,Corum-Amasya,14/08/1996,26006,30000,
1998-0167,Flash flood,Flood,23/05/1998,,TUR,"Zonguldak, Karabuk, Bartin, Sakarya",20/05/1998,1240047,1000000,10
1998-0189,Flash flood,Flood,12/06/1998,,TUR,Diyarbajir,12/06/1998,,,22
1998-0201,Ground movement,Earthquake,28/06/1998,,TUR,"Adana, Ceyhan, Hatay",28/06/1998,1589600,550000,145
1998-0207,Ground movement,Earthquake,04/07/1998,,TUR,"Geyhan, Adana area",04/07/1998,1016,,
1998-0255,Flash flood,Flood,11/08/1998,,TUR,"Beskoy (Trabzon province), Rize province",10/08/1998,1000,,60
1998-0588,Ground movement,Earthquake,14/12/1998,,TUR,Kayseri,14/12/1998,690,,2
1999-0268,Ground movement,Earthquake,17/08/1999,2000000,TUR,"Izmit, Kocaeli, Yalova, Golcuk, Zonguldak, Sakarya, Tekirdag, Istanbul, Bursa, Eskisehir, Bolu",17/08/1999,1358953,20000000,17127
1999-0314,Ground movement,Earthquake,13/09/1999,,TUR,"Kocaeli, Bursa, Istanbul, Sakarya, Yalova Provinces",13/09/1999,422,,6
1999-0376,Ground movement,Earthquake,05/10/1999,,TUR,Marmaris,05/10/1999,103,,
1999-0386,Ground movement,Earthquake,31/08/1999,,TUR,Izmit,31/08/1999,166,,1
1999-0445,Ground movement,Earthquake,11/11/1999,,TUR,Sakarya Province,11/11/1999,200,,3
1999-0449,Ground movement,Earthquake,12/11/1999,,TUR,"Duzce, Bolu, Kaynasli",12/11/1999,224948,1000000,845
2000-0188,Forest fire,Wildfire,05/04/2000,,TUR,"Bursa, Canakkale, Balikesir provinces",05/04/2000,350,,
2000-0272,Ground movement,Earthquake,08/05/2000,,TUR,Poturge,08/05/2000,1000,,1
2000-0281,Riverine flood,Flood,27/05/2000,,TUR,"Samsun (Carcamba, Salipazari) and Tokat provinces",27/05/2000,1000,40000,2
2000-0291,Ground movement,Earthquake,06/06/2000,,TUR,"Cerkes, Orta (Cankiri), Cubuk (Ankara)",06/06/2000,23080,,2
2000-0381,Heat wave,Extreme temperature ,/07/2000,,TUR,,/06/2000,300,1000,11
2000-0552,Forest fire,Wildfire,/07/2000,,TUR,"Karacahisar, Boncuklu, Vakifli (Manisa province) + Canakkale province",/07/2000,,,
2001-0188,Riverine flood,Flood,08/03/2001,,TUR,"Siverek, Halfeti (Sanliurfa province)",08/03/2001,450,,4
2001-0309,Riverine flood,Flood,08/05/2001,,TUR,Antakya (Konya provinces),07/05/2001,1500,,3
2001-0358,Ground movement,Earthquake,25/06/2001,,TUR,Osmaniye province,25/06/2001,480,,
2001-0616,Landslide,Landslide,10/11/2001,,TUR,"Camlihemsin, Cayeli, Ardesen, G?zeltepe (Rize province)",10/11/2001,600,,9
2001-0665,Riverine flood,Flood,09/12/2001,,TUR,"Izmir (Konak), Erdemli, Mersin, Tarsus, Antakya, Adana",02/12/2001,570,25000,5
2001-0689,Cold wave,Extreme temperature ,17/12/2001,,TUR,"Uskudar, Bayrampasa distrcits, Kirklareli, Cannakale provinces",17/12/2001,,,29
2001-0748,Ground movement,Earthquake,10/07/2001,,TUR,Erzurum area,10/07/2001,131,,
2002-0023,Convective storm,Storm,/01/2002,,TUR,,/01/2002,,,4
2002-0065,Ground movement,Earthquake,03/02/2002,,TUR,Bolvadin (Afyon province),03/02/2002,252327,95000,42
2002-0450,Riverine flood,Flood,27/07/2002,,TUR,"Gunneysu,Cayeli townships, Selamet (Rize province and city) (Black sea region) Corum province; Karalar (Yozgat province), Kars and Mus provinces (Eastern)",23/07/2002,3000,,34
2002-0791,--,Storm,20/12/2002,,TUR,"Tokat, Van, Kayseri, Istanbul, Ankara",20/12/2002,,,10
2003-0050,Ground movement,Earthquake,27/01/2003,,TUR,Pulumur (Tunceli province),27/01/2003,2,,1
2003-0197,Ground movement,Earthquake,01/05/2003,1000,TUR,"Bingol, Celtiksuyu, Sancak, Gokdere, Gozeler (Merkez district in Bingol Province)",01/05/2003,290520,135000,177
2003-0627,Riverine flood,Flood,26/12/2003,,TUR,"Antalya region (Antalya city, Doyran, Kumluca)",24/12/2003,,,8
2003-0648,Ground movement,Earthquake,26/07/2003,,TUR,Buldan (Western Turkey),26/07/2003,240,,
2003-0783,Ground movement,Earthquake,10/04/2003,,TUR,"Izmir (Konak district), Seferihisar",10/04/2003,170,,
2004-0010,Cold wave,Extreme temperature ,10/01/2004,,TUR,"Aragpir, Istanbul, Ankara, Kayseri, Izmir, Bursa, Erzurum",09/01/2004,,,10
2004-0026,--,Storm,25/01/2004,,TUR,All country,22/01/2004,,,8
2004-0102,Riverine flood,Flood,09/03/2004,,TUR,"Agri, Erzurum (Ilica, Cat) Kars, Mus, Ardahan, Konya. Silifke, Mersin, Bozkir, Batman, Bitlis, Kony, Ardaha, Ararat (Dogubeyazit)",05/03/2004,50000,,15
2004-0127,Ground movement,Earthquake,25/03/2004,,TUR,"Askale, Cat, Buyukgecit (Askale), Kucukgecit, Karabiyik, Kandilli (Erzurum region)",25/03/2004,4030,,9
2004-0132,Ground movement,Earthquake,28/03/2004,,TUR,"Askale, Ilica, Cat (Erzurum) ",28/03/2004,32530,,
2004-0209,Riverine flood,Flood,16/05/2004,,TUR,Hatay region,14/05/2004,,,6
2004-0274,Convective storm,Storm,19/06/2004,,TUR,Sunlu,19/06/2004,915,,3
2004-0308,Ground movement,Earthquake,02/07/2004,,TUR,Dogubeyazit (Agri province),02/07/2004,356,,18
2004-0424,Flash flood,Flood,17/08/2004,,TUR,Alibeykoy and Esenler districts (Istanbul) and Zonguldak (city).,16/08/2004,100,,2
2004-0600,Convective storm,Storm,22/11/2004,,TUR,"Istanbul, Ankara, Yozgat, Adana",21/11/2004,721,,14
2005-0045,Convective storm,Storm,01/04/2005,,TUR,Coast of Turkey in the Black Sea,01/01/2005,,,2
2005-0070,Ground movement,Earthquake,24/01/2005,,TUR,"Van, Adana (Seyhan and Yuregi disctricts) and Hakkari cities",24/01/2005,422,,2
2005-0119,Landslide,Landslide,17/03/2005,,TUR,Sug?z? (Sivas province),17/03/2005,9,,15
2005-0126,Ground movement,Earthquake,14/03/2005,,TUR,Karliova (Bingol province),14/03/2005,2268,,
2005-0329,Ground movement,Earthquake,06/06/2005,,TUR,Near Karliova (Bingol province),06/06/2005,354,,
2005-0340,--,Flood,04/07/2005,,TUR,"Istanbul (Kartal, Maltepe, Pendik), Duzce, Sakarya provinces",04/07/2005,3000,,
2005-0415,Flash flood,Flood,03/08/2005,,TUR,"Caykara area (Trabzon province), Guneyce area (Rize province)",02/08/2005,,,7
2005-0713,Severe winter conditions,Extreme temperature ,/12/2005,,TUR,,/12/2005,150,,17
2006-0334,Riverine flood,Flood,03/07/2006,,TUR,"Bitis, Mus, Kirklarrli, Trabzon, Rize provinces (Black sea region)",01/07/2006,,,12
2006-0619,Flash flood,Flood,07/11/2006,,TUR,"Sanliurfa (Siverek, Ceylanpinar, Suruc), Diyarbakir (Bismil, Cinar), Sirnak (Cizre, Silopi, Uludere), Batman (Batman town and Hasankeyf), Istanbul (Beykoz, Sariyer), Mersin town, Hakkari (Yuksekova, Semdinli), Antalya town  provinces",27/10/2006,63015,317000,47
2007-0168,Riverine flood,Flood,01/06/2007,,TUR,"Agri (Ugurtas, Kacmaz, Karlica Demirkapi, Seyithanbey, Danakiran, Karayseyitali in Habur town, Hamur), Van (Ercis), Bitlis (Kalkanli, Hizan), Gaziantep (Bilek, Sehitkamil) provinces",27/05/2007,750,,13
2007-0235,Heat wave,Extreme temperature ,/06/2007,,TUR,,/06/2007,,,3
2007-0330,Riverine flood,Flood,03/08/2007,,TUR,"Aliceyrek, Akkeran, Danisment (Horasan district, Erzurum)",03/08/2007,186,,2
2007-0554,Riverine flood,Flood,21/11/2007,,TUR,"Thracian and Aegean regions (Tekirdag, Edirne, Mugla province (Marmaris, Bodrum))",16/11/2007,2250,,1
2008-0318,Forest fire,Wildfire,05/08/2008,,TUR,Karatas (Antalya province),01/08/2008,300,,2
2009-0054,Avalanche,Landslide,25/01/2009,,TUR,Zigana region (G?m?shane province),25/01/2009,6,,11
2009-0262,Riverine flood,Flood,16/07/2009,,TUR,"Savsat city, Sinop town, Bartin, Ordu province (Bogazcik, Persembe) (North East), along the Black Sea",10/07/2009,111,,7
2009-0355,Flash flood,Flood,10/09/2009,250000,TUR,"Silivri, Catalca,  Kucukcekmece (Ikitelli, Halkali, Basaksehir), Sariyer (Kilyos), districts (Istanbul); Kumbag,  Saray (Tekirdag province))",07/09/2009,35020,550000,40
2009-0507,Landslide,Landslide,22/11/2009,,TUR,"Trabzon, Giresun (Black sea region)",21/11/2009,,,4
2010-0093,Ground movement,Earthquake,08/03/2010,,TUR," Basyurt (Karakocan district), Demirci, Kovancilar, Okcular (Kovancilar district) (Elazig Province)",08/03/2010,3600,,51
2010-0438,Landslide,Landslide,27/08/2010,,TUR,"G?ndogdu (Rize province, Eastern Black sea region)",27/08/2010,206,,13
2011-0170,Ground movement,Earthquake,19/05/2011,4000,TUR,Simav (Kutahya province),19/05/2011,10121,244000,3
2011-0377,Riverine flood,Flood,11/10/2011,,TUR,"Antalya (Haskiziloren, Serik), Denizli (Karabayir, Cameli), Manisa (Yanikdag, Gordes) provinces",08/10/2011,3,,8
2011-0397,Ground movement,Earthquake,23/10/2011,90000,TUR,"Van, Bitlis, Hakkari, Ercis (Van)",23/10/2011,32938,1500000,604
2011-0467,Ground movement,Earthquake,09/11/2011,,TUR,Van province,09/11/2011,105,,40
